Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:05.3,5.31,5310,00:00:05:07,00:05.3,5.31,5310,00:00:05:07,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
00:05.3,5.32,5320,00:00:05:08,00:15.8,15.81,15810,00:00:15:20,00:10.5,10.49,10490,00:00:10:12,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,None,0,1,0,None,Mild
00:15.8,15.81,15810,00:00:15:20,00:18.1,18.14,18140,00:00:18:03,00:02.3,2.33,2330,00:00:02:08,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,Moves in chair,0,1,0,None,Mild
00:18.1,18.15,18150,00:00:18:03,00:18.7,18.74,18740,00:00:18:18,00:00.6,0.59,590,00:00:00:14,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,None,0,1,0,None,Severe
00:18.7,18.74,18740,00:00:18:18,00:20.0,19.99,19990,00:00:19:24,00:01.3,1.25,1250,00:00:01:06,1,1,"(Participant Repeats) ""My name is Jason"".",Directed towards the robot,0,Confused,0,0,0,0,None,None,None,0,1,0,None,Severe
00:20.0,19.99,19990,00:00:19:24,00:20.2,20.22,20220,00:00:20:05,00:00.2,0.23,230,00:00:00:05,1,1,"(Participant Repeats) ""My name is Jason"".",Directed towards the robot,0,Confused,0,0,0,0,None,None,Moves in chair,0,1,0,None,Severe
00:20.2,20.22,20220,00:00:20:05,00:21.8,21.83,21830,00:00:21:20,00:01.6,1.61,1610,00:00:01:15,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,Moves in chair,0,1,0,None,Severe
00:21.8,21.83,21830,00:00:21:20,00:25.1,25.13,25130,00:00:25:03,00:03.3,3.3,3300,00:00:03:07,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,None,0,1,0,None,Severe
00:25.1,25.13,25130,00:00:25:03,00:26.3,26.27,26270,00:00:26:06,00:01.1,1.14,1140,00:00:01:03,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,Moves in chair,0,1,0,None,Severe
00:26.3,26.27,26270,00:00:26:06,00:27.3,27.27,27270,00:00:27:06,00:01.0,1,1000,00:00:01:00,1,1,None,Directed towards the robot,0,Confused,0,0,0,0,None,None,None,0,1,0,None,Severe
00:27.3,27.27,27270,00:00:27:06,00:39.2,39.23,39230,00:00:39:05,00:12.0,11.96,11960,00:00:11:24,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
00:39.2,39.24,39240,00:00:39:06,00:42.9,42.86,42860,00:00:42:21,00:03.6,3.62,3620,00:00:03:15,0,0,None,Towards the robot,0,Confused,0,0,0,0,Paticipant tilts his head to the side,Participant touches his nose with his hand,Participant moves in chair,0,0,0,None,
00:42.9,42.87,42870,00:00:42:21,00:43.0,42.97,42970,00:00:42:24,00:00.1,0.1,100,00:00:00:02,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
00:43.0,42.98,42980,00:00:42:24,00:54.9,54.91,54910,00:00:54:22,00:11.9,11.93,11930,00:00:11:23,0,1,None,Directed towards the robot,0,Severe,0,0,0,0,None,Slight hand rubbing,Slight movement in the chair,0,1,0,It takes too long for the robot to respond,
00:54.9,54.91,54910,00:00:54:22,01:31.5,91.49,91490,00:01:31:12,00:36.6,36.58,36580,00:00:36:14,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
01:31.5,91.49,91490,00:01:31:12,01:33.1,93.11,93110,00:01:33:02,00:01.6,1.62,1620,00:00:01:15,1,0,None,Directed towards the robot,0,Confused,0,0,0,0,Participant slightly shakes their head,None,Participant slightly moves in chair,0,0,0,None,Mild
01:33.1,93.11,93110,00:01:33:02,01:45.7,105.68,105680,00:01:45:17,00:12.6,12.57,12570,00:00:12:14,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
01:45.7,105.69,105690,00:01:45:17,01:47.0,106.96,106960,00:01:46:24,00:01.3,1.27,1270,00:00:01:06,1,0,None,Participant looks to the camera,0,Confused,0,0,0,0,None,None,Participant slightly moves in chair,0,0,0,None,Mild
01:47.0,106.97,106970,00:01:46:24,01:48.6,108.63,108630,00:01:48:15,00:01.7,1.66,1660,00:00:01:16,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
01:48.6,108.63,108630,00:01:48:15,01:53.2,113.19,113190,00:01:53:04,00:04.6,4.56,4560,00:00:04:14,1,0,None,Participant looks at the camera and to the robot,0,Confused,0,0,0,0,Participant slightly shakes their head,Participant slightly moves their arms,Participant slightly moves in the chair,0,0,0,None,Mild
01:53.2,113.2,113200,00:01:53:05,02:01.3,121.33,121330,00:02:01:08,00:08.1,8.13,8130,00:00:08:03,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
02:01.3,121.33,121330,00:02:01:08,02:04.0,124.04,124040,00:02:04:01,00:02.7,2.71,2710,00:00:02:17,1,0,None,Directed to the robot,0,Neutral,0,0,0,0,None,Participant slightly moves their arms,Participant slightly moves in the chair,0,0,0,None,Mild
02:04.1,124.05,124050,00:02:04:01,02:09.6,129.6,129600,00:02:09:15,00:05.6,5.55,5550,00:00:05:13,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
02:09.6,129.61,129610,00:02:09:15,02:17.6,137.57,137570,00:02:17:14,00:08.0,7.96,7960,00:00:07:24,1,0,None,Directed to the robot and to the camera,0,Neutral,0,0,0,0,None,None,Participant moves in the chair,0,0,0,None,Mild
02:17.6,137.58,137580,00:02:17:14,02:23.3,143.3,143300,00:02:23:07,00:05.7,5.72,5720,00:00:05:18,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
02:23.3,143.31,143310,00:02:23:07,02:27.9,147.86,147860,00:02:27:21,00:04.6,4.55,4550,00:00:04:13,1,0,None,Participant frequently looks to the camera,0,Thoughtful,0,0,0,0,None,None,Participant slightly moves in the chair,0,0,0,None,Mild
02:27.9,147.86,147860,00:02:27:21,02:33.1,153.14,153140,00:02:33:03,00:05.3,5.28,5280,00:00:05:07,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
02:33.1,153.14,153140,00:02:33:03,02:45.0,164.95,164950,00:02:44:23,00:11.8,11.81,11810,00:00:11:20,1,0,Participant responds to the question,Directed to the robot,1,Happy,0,0,0,0,Participant slighly moves their head,None,Participant moves in the chair,0,0,0,None,Mild
02:45.0,164.98,164980,00:02:44:24,02:52.5,172.46,172460,00:02:52:11,00:07.5,7.48,7480,00:00:07:12,1,1,None,Directed to the robot,1,Neutral,0,0,0,0,None,None,None,0,1,0,None,Mild
02:52.5,172.46,172460,00:02:52:11,03:06.2,186.22,186220,00:03:06:05,00:13.8,13.76,13760,00:00:13:19,0,0,None,Participant looks at the robot,0,Neutral,0,0,0,0,None,None,None,0,0,0,None,
03:06.2,186.22,186220,00:03:06:05,03:27.6,207.65,207650,00:03:27:16,00:21.4,21.43,21430,00:00:21:10,1,1,Participant responds to the question,Directed to the robot,1,Confused/Surprised,0,0,0,0,None,None,Participant slightly moves in the chair,0,0,0,"The robot gives the participant a minute to think, but then asks the question in a few seconds. The participant looks surprised.",Mild
