Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:45.1,45.08,45080,00:00:45:02,00:45.1,45.08,45080,00:00:45:02,0,0,,,,,,,,,,,,0,0,0,,
00:45.1,45.08,45080,00:00:45:02,00:47.8,47.84,47840,00:00:47:21,00:02.8,2.76,2760,00:00:02:19,0,1,,,,,,,,,,,,0,1,0,,
00:47.8,47.85,47850,00:00:47:21,00:48.7,48.74,48740,00:00:48:18,00:00.9,0.89,890,00:00:00:22,0,1,,,,,,,,,,,,0,0,0,"The backchannelling response occurs after a period of silence, after the participant finished their answer",
00:48.8,48.75,48750,00:00:48:18,00:51.4,51.39,51390,00:00:51:09,00:02.6,2.64,2640,00:00:02:16,0,1,,,,,,,,,,,,0,1,0,,
00:51.4,51.39,51390,00:00:51:09,00:54.0,53.99,53990,00:00:53:24,00:02.6,2.6,2600,00:00:02:15,1,1,,,,,,,,,,,,0,1,0,,Mild
00:54.0,53.99,53990,00:00:53:24,00:56.2,56.19,56190,00:00:56:04,00:02.2,2.2,2200,00:00:02:05,0,1,,,,,,,,,,,,0,1,0,,
00:56.2,56.19,56190,00:00:56:04,03:33.8,213.81,213810,00:03:33:20,02:37.6,157.62,157620,00:02:37:15,0,0,,,,,,,,,,,,0,0,0,,
03:33.8,213.81,213810,00:03:33:20,03:39.9,219.9,219900,00:03:39:22,00:06.1,6.09,6090,00:00:06:02,0,1,,,,,,,,,,,,0,1,0,,
03:39.9,219.9,219900,00:03:39:22,04:25.3,265.33,265330,00:04:25:08,00:45.4,45.43,45430,00:00:45:10,0,0,,,,,,,,,,,,0,0,0,,
04:25.3,265.33,265330,00:04:25:08,04:25.4,265.41,265410,00:04:25:10,00:00.1,0.08,80,00:00:00:02,0,1,,,,,,,,,,,,1,0,0,"The ""Aha"" response was interruptive",
04:25.4,265.41,265410,00:04:25:10,04:26.2,266.25,266250,00:04:26:06,00:00.8,0.84,840,00:00:00:21,1,1,,,,,,,,,,,,1,0,0,"The ""Aha"" response was interruptive",Mild
04:26.2,266.25,266250,00:04:26:06,04:26.8,266.79,266790,00:04:26:19,00:00.5,0.54,540,00:00:00:13,1,0,,,,,,,,,,,,0,0,0,,Mild
04:26.8,266.79,266790,00:04:26:19,04:48.1,288.1,288100,00:04:48:02,00:21.3,21.31,21310,00:00:21:07,0,0,,,,,,,,,,,,0,0,0,,
04:48.1,288.1,288100,00:04:48:02,04:48.3,288.28,288280,00:04:48:07,00:00.2,0.18,180,00:00:00:04,0,1,,,,,,,,,,,,1,0,0,,
04:48.3,288.28,288280,00:04:48:07,04:53.7,293.71,293710,00:04:53:17,00:05.4,5.43,5430,00:00:05:10,1,1,,,,,,,,,,,,1,0,0,,Mild
04:53.7,293.71,293710,00:04:53:17,04:53.9,293.92,293920,00:04:53:23,00:00.2,0.21,210,00:00:00:05,0,1,,,,,,,,,,,,1,0,0,,
04:53.9,293.92,293920,00:04:53:23,05:43.2,343.22,343220,00:05:43:05,00:49.3,49.3,49300,00:00:49:07,0,0,,,,,,,,,,,,0,0,0,,
05:43.2,343.22,343220,00:05:43:05,05:43.8,343.77,343770,00:05:43:19,00:00.6,0.55,550,00:00:00:13,0,1,,,,,,,,,,,,1,0,0,The backchannelling response was interruptive,
05:43.8,343.77,343770,00:05:43:19,05:56.3,356.26,356260,00:05:56:06,00:12.5,12.49,12490,00:00:12:12,0,0,,,,,,,,,,,,0,0,0,,
05:56.3,356.26,356260,00:05:56:06,06:03.5,363.48,363480,00:06:03:12,00:07.2,7.22,7220,00:00:07:05,0,1,,,,,,,,,,,,0,1,0,,
06:03.5,363.48,363480,00:06:03:12,07:57.0,477,477000,00:07:57:00,01:53.5,113.52,113520,00:01:53:13,0,0,,,,,,,,,,,,0,0,0,,
