Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:09.1,9.09,9090,00:00:09:02,00:09.1,9.09,9090,00:00:09:02,0,0,,,,,,,,,,,,0,0,0,,
00:09.1,9.09,9090,00:00:09:02,00:20.3,20.3,20300,00:00:20:07,00:11.2,11.21,11210,00:00:11:05,1,1,,,,,,,,,,,,0,1,0,,Mild
00:20.3,20.3,20300,00:00:20:07,00:25.7,25.72,25720,00:00:25:18,00:05.4,5.42,5420,00:00:05:10,0,0,,,,,,,,,,,,0,0,0,,
00:25.7,25.72,25720,00:00:25:18,00:35.5,35.52,35520,00:00:35:13,00:09.8,9.8,9800,00:00:09:20,1,1,,,,,,,,,,,,0,1,0,,Mild
00:35.5,35.52,35520,00:00:35:13,01:44.2,104.15,104150,00:01:44:03,01:08.6,68.63,68630,00:01:08:15,0,0,,,,,,,,,,,,0,0,0,,
01:44.2,104.15,104150,00:01:44:03,01:51.1,111.05,111050,00:01:51:01,00:06.9,6.9,6900,00:00:06:22,1,1,,,,,,,,,,,,0,0,1,,Mild
01:51.1,111.05,111050,00:01:51:01,01:56.7,116.66,116660,00:01:56:16,00:05.6,5.61,5610,00:00:05:15,0,0,,,,,,,,,,,,0,0,0,,
01:56.7,116.66,116660,00:01:56:16,01:58.6,118.62,118620,00:01:58:15,00:02.0,1.96,1960,00:00:01:24,1,0,,,,,,,,,,,,0,0,0,"The backchannelling response ""Aha"" occured suddenly, and this surprised the participant",Mild
01:58.6,118.62,118620,00:01:58:15,02:22.2,142.15,142150,00:02:22:03,00:23.5,23.53,23530,00:00:23:13,0,0,,,,,,,,,,,,0,0,0,,
02:22.2,142.15,142150,00:02:22:03,02:28.1,148.14,148140,00:02:28:03,00:06.0,5.99,5990,00:00:05:24,1,1,,,,,,,,,,,,0,1,0,,Mild
02:28.1,148.14,148140,00:02:28:03,03:03.9,183.9,183900,00:03:03:22,00:35.8,35.76,35760,00:00:35:19,0,0,,,,,,,,,,,,0,0,0,,
03:03.9,183.9,183900,00:03:03:22,03:10.8,190.77,190770,00:03:10:19,00:06.9,6.87,6870,00:00:06:21,1,1,,,,,,,,,,,,0,1,0,,Mild
03:10.8,190.77,190770,00:03:10:19,03:12.6,192.58,192580,00:03:12:14,00:01.8,1.81,1810,00:00:01:20,0,0,,,,,,,,,,,,0,0,0,,
03:12.6,192.58,192580,00:03:12:14,03:17.1,197.07,197070,00:03:17:01,00:04.5,4.49,4490,00:00:04:12,1,0,,,,,,,,,,,,0,0,0,,Mild
03:17.1,197.07,197070,00:03:17:01,03:23.8,203.81,203810,00:03:23:20,00:06.7,6.74,6740,00:00:06:18,0,0,,,,,,,,,,,,0,0,0,,
03:23.8,203.81,203810,00:03:23:20,03:38.2,218.15,218150,00:03:38:03,00:14.3,14.34,14340,00:00:14:08,0,0,,,,,,,,,,,,0,0,0,The time given to the participant to think was much less than one minute,
03:38.2,218.15,218150,00:03:38:03,03:45.6,225.56,225560,00:03:45:14,00:07.4,7.41,7410,00:00:07:10,0,0,,,,,,,,,,,,0,0,0,,
03:45.6,225.56,225560,00:03:45:14,03:46.1,226.08,226080,00:03:46:02,00:00.5,0.52,520,00:00:00:13,0,1,,,,,,,,,,,,1,0,0,,
03:46.1,226.08,226080,00:03:46:02,04:31.2,271.22,271220,00:04:31:05,00:45.1,45.14,45140,00:00:45:03,0,0,,,,,,,,,,,,0,0,0,,
04:31.2,271.22,271220,00:04:31:05,04:38.9,278.88,278880,00:04:38:22,00:07.7,7.66,7660,00:00:07:16,1,1,,,,,,,,,,,,0,1,0,,Mild
04:38.9,278.88,278880,00:04:38:22,06:02.8,362.79,362790,00:06:02:19,01:23.9,83.91,83910,00:01:23:22,0,0,,,,,,,,,,,,0,0,0,,
06:02.8,362.79,362790,00:06:02:19,06:10.4,370.43,370430,00:06:10:10,00:07.6,7.64,7640,00:00:07:16,1,1,,,,,,,,,,,,0,1,0,,Mild
06:10.4,370.43,370430,00:06:10:10,06:44.3,404.29,404290,00:06:44:07,00:33.9,33.86,33860,00:00:33:21,0,0,,,,,,,,,,,,0,0,0,,
06:44.3,404.29,404290,00:06:44:07,06:51.0,410.97,410970,00:06:50:24,00:06.7,6.68,6680,00:00:06:17,1,1,,,,,,,,,,,,0,1,0,,Mild
