Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:17.8,17.79,17790,00:00:17:19,00:17.8,17.79,17790,00:00:17:19,0,0,,,,,,,,,,,,0,0,0,,
00:17.8,17.79,17790,00:00:17:19,00:19.0,18.96,18960,00:00:18:24,00:01.2,1.17,1170,00:00:01:04,0,1,,,,,,,,,,,,0,1,0,,
00:19.0,18.96,18960,00:00:18:24,00:26.5,26.52,26520,00:00:26:13,00:07.6,7.56,7560,00:00:07:14,1,1,,,,,,,,,,,,0,1,0,,Mild
00:26.5,26.53,26530,00:00:26:13,00:26.8,26.78,26780,00:00:26:19,00:00.3,0.25,250,00:00:00:06,1,1,,,,,,,,,,,,0,0,1,,Mild
00:26.8,26.78,26780,00:00:26:19,00:34.7,34.71,34710,00:00:34:17,00:07.9,7.93,7930,00:00:07:23,0,1,,,,,,,,,,,,0,0,1,,
00:34.7,34.71,34710,00:00:34:17,00:59.9,59.85,59850,00:00:59:21,00:25.1,25.14,25140,00:00:25:03,0,0,,,,,,,,,,,,0,0,0,,
00:59.9,59.85,59850,00:00:59:21,01:06.7,66.65,66650,00:01:06:16,00:06.8,6.8,6800,00:00:06:20,0,1,,,,,,,,,,,,0,1,0,,
01:06.7,66.65,66650,00:01:06:16,03:00.0,179.99,179990,00:02:59:24,01:53.3,113.34,113340,00:01:53:08,0,0,,,,,,,,,,,,0,0,0,,
03:00.0,179.99,179990,00:02:59:24,03:06.6,186.61,186610,00:03:06:15,00:06.6,6.62,6620,00:00:06:15,0,1,,,,,,,,,,,,0,1,0,,
03:06.6,186.61,186610,00:03:06:15,03:25.8,205.76,205760,00:03:25:19,00:19.1,19.15,19150,00:00:19:03,0,0,,,,,,,,,,,,0,0,0,,
03:25.8,205.76,205760,00:03:25:19,03:33.2,213.17,213170,00:03:33:04,00:07.4,7.41,7410,00:00:07:10,0,1,,,,,,,,,,,,0,1,0,,
03:33.2,213.17,213170,00:03:33:04,03:41.4,221.36,221360,00:03:41:09,00:08.2,8.19,8190,00:00:08:04,0,0,,,,,,,,,,,,0,0,0,,
03:41.4,221.36,221360,00:03:41:09,03:44.7,224.7,224700,00:03:44:17,00:03.3,3.34,3340,00:00:03:08,1,0,,,,,,,,,,,,0,0,0,,Mild
03:44.7,224.7,224700,00:03:44:17,03:45.3,225.34,225340,00:03:45:08,00:00.6,0.64,640,00:00:00:16,1,1,,,,,,,,,,,,1,0,0,,Mild
03:45.3,225.34,225340,00:03:45:08,03:55.6,235.59,235590,00:03:55:14,00:10.2,10.25,10250,00:00:10:06,1,0,,,,,,,,,,,,0,0,0,,Mild
03:55.6,235.59,235590,00:03:55:14,04:13.8,253.79,253790,00:04:13:19,00:18.2,18.2,18200,00:00:18:05,0,0,,,,,,,,,,,,0,0,0,,
04:13.8,253.79,253790,00:04:13:19,04:21.0,261.04,261040,00:04:21:01,00:07.3,7.25,7250,00:00:07:06,0,1,,,,,,,,,,,,0,1,0,,
04:21.0,261.04,261040,00:04:21:01,05:36.5,336.51,336510,00:05:36:12,01:15.5,75.47,75470,00:01:15:11,0,0,,,,,,,,,,,,0,0,0,,
05:36.5,336.51,336510,00:05:36:12,05:37.5,337.51,337510,00:05:37:12,00:01.0,1,1000,00:00:01:00,0,1,,,,,,,,,,,,1,0,0,,
05:37.5,337.51,337510,00:05:37:12,05:46.2,346.23,346230,00:05:46:05,00:08.7,8.72,8720,00:00:08:18,0,0,,,,,,,,,,,,0,0,0,,
05:46.2,346.23,346230,00:05:46:05,05:51.9,351.94,351940,00:05:51:23,00:05.7,5.71,5710,00:00:05:17,0,1,,,,,,,,,,,,0,1,0,,
05:51.9,351.94,351940,00:05:51:23,06:05.4,365.43,365430,00:06:05:10,00:13.5,13.49,13490,00:00:13:12,0,0,,,,,,,,,,,,0,0,0,,
06:05.4,365.43,365430,00:06:05:10,06:12.4,372.36,372360,00:06:12:09,00:06.9,6.93,6930,00:00:06:23,0,1,,,,,,,,,,,,0,1,0,,
06:12.4,372.36,372360,00:06:12:09,06:41.6,401.62,401620,00:06:41:15,00:29.3,29.26,29260,00:00:29:06,0,0,,,,,,,,,,,,0,0,0,,
06:41.6,401.62,401620,00:06:41:15,06:48.2,408.25,408250,00:06:48:06,00:06.6,6.63,6630,00:00:06:15,0,1,,,,,,,,,,,,0,1,0,,
06:48.2,408.25,408250,00:06:48:06,07:30.0,450,450000,00:07:30:00,00:41.7,41.75,41750,00:00:41:18,0,0,,,,,,,,,,,,0,0,0,,
