Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:07.0,6.95,6950,00:00:06:23,00:07.0,6.95,6950,00:00:06:23,0,0,,,,,,,,,,,,0,0,0,,
00:07.0,6.95,6950,00:00:06:23,00:21.3,21.3,21300,00:00:21:07,00:14.3,14.35,14350,00:00:14:08,1,1,,,,,,,,,,,,0,1,0,,Mild
00:21.3,21.3,21300,00:00:21:07,00:33.8,33.79,33790,00:00:33:19,00:12.5,12.49,12490,00:00:12:12,0,0,,,,,,,,,,,,0,0,0,,
00:33.8,33.79,33790,00:00:33:19,00:47.6,47.56,47560,00:00:47:14,00:13.8,13.77,13770,00:00:13:19,1,1,,,,,,,,,,,,0,1,0,,Mild
00:47.6,47.56,47560,00:00:47:14,02:05.7,125.74,125740,00:02:05:18,01:18.2,78.18,78180,00:01:18:04,0,0,,,,,,,,,,,,0,0,0,,
02:05.7,125.74,125740,00:02:05:18,02:13.1,133.05,133050,00:02:13:01,00:07.3,7.31,7310,00:00:07:07,1,0,,,,,,,,,,,,0,0,0,"Robot movement and ""aha"" response makes the participant laugh",Mild
02:13.1,133.05,133050,00:02:13:01,02:15.2,135.19,135190,00:02:15:04,00:02.1,2.14,2140,00:00:02:03,0,0,,,,,,,,,,,,0,0,0,,
02:15.2,135.19,135190,00:02:15:04,02:19.7,139.68,139680,00:02:19:17,00:04.5,4.49,4490,00:00:04:12,1,1,,,,,,,,,,,,0,1,0,,Mild
02:19.7,139.68,139680,00:02:19:17,02:43.9,163.87,163870,00:02:43:21,00:24.2,24.19,24190,00:00:24:04,0,0,,,,,,,,,,,,0,0,0,,
02:43.9,163.87,163870,00:02:43:21,02:52.4,172.39,172390,00:02:52:09,00:08.5,8.52,8520,00:00:08:13,0,1,,,,,,,,,,,,0,1,0,,
02:52.4,172.39,172390,00:02:52:09,03:40.4,220.41,220410,00:03:40:10,00:48.0,48.02,48020,00:00:48:00,0,0,,,,,,,,,,,,0,0,0,,
03:40.4,220.41,220410,00:03:40:10,03:45.6,225.62,225620,00:03:45:15,00:05.2,5.21,5210,00:00:05:05,0,1,,,,,,,,,,,,0,1,0,,
03:45.6,225.62,225620,00:03:45:15,04:53.7,293.69,293690,00:04:53:17,01:08.1,68.07,68070,00:01:08:01,0,0,,,,,,,,,,,,0,0,0,,
04:53.7,293.69,293690,00:04:53:17,05:03.8,303.82,303820,00:05:03:20,00:10.1,10.13,10130,00:00:10:03,1,1,,,,,,,,,,,,0,1,0,,Mild
05:03.8,303.82,303820,00:05:03:20,05:39.7,339.65,339650,00:05:39:16,00:35.8,35.83,35830,00:00:35:20,0,0,,,,,,,,,,,,0,0,0,,
05:39.7,339.65,339650,00:05:39:16,05:46.0,345.97,345970,00:05:45:24,00:06.3,6.32,6320,00:00:06:08,1,0,,,,,,,,,,,,0,0,0,The hand wave at the end makes the participant smile,Mild
