Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,BodyGesture,UtteranceContent,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Gaze,HandGesture,HeadMovement,Severeness
00:00.0,0,0,00:00:00:00,00:02.7,2.68,2680,00:00:02:17,00:02.7,2.68,2680,00:00:02:17,1,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,Mild
00:02.7,2.68,2680,00:00:02:17,00:05.7,5.66,5660,00:00:05:16,00:03.0,2.98,2980,00:00:02:24,1,0,Participant moves in the chair,None,1,Happy,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,Mild
00:05.7,5.66,5660,00:00:05:16,00:22.8,22.78,22780,00:00:22:19,00:17.1,17.12,17120,00:00:17:03,1,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,Mild
00:22.8,22.79,22790,00:00:22:19,00:26.4,26.44,26440,00:00:26:11,00:03.7,3.65,3650,00:00:03:16,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,Participant moves their fingers,None,
00:26.4,26.44,26440,00:00:26:11,00:28.8,28.83,28830,00:00:28:20,00:02.4,2.39,2390,00:00:02:09,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
00:28.8,28.83,28830,00:00:28:20,00:29.5,29.48,29480,00:00:29:12,00:00.7,0.65,650,00:00:00:16,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
00:29.5,29.48,29480,00:00:29:12,00:43.5,43.49,43490,00:00:43:12,00:14.0,14.01,14010,00:00:14:00,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
00:43.5,43.49,43490,00:00:43:12,00:47.3,47.33,47330,00:00:47:08,00:03.8,3.84,3840,00:00:03:21,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
00:47.3,47.33,47330,00:00:47:08,00:49.8,49.78,49780,00:00:49:19,00:02.5,2.45,2450,00:00:02:11,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the camera,None,None,
00:49.8,49.78,49780,00:00:49:19,00:58.1,58.08,58080,00:00:58:02,00:08.3,8.3,8300,00:00:08:07,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
00:58.1,58.08,58080,00:00:58:02,01:01.1,61.06,61060,00:01:01:01,00:03.0,2.98,2980,00:00:02:24,0,0,Participant moves in the chair,None,1,Happy,0,1,0,0,0,0,0,None,Participant looks at the robot,None,None,
01:01.1,61.07,61070,00:01:01:01,01:05.0,64.97,64970,00:01:04:24,00:03.9,3.9,3900,00:00:03:22,1,1,Participant moves in the chair,None,0,Confused,0,0,0,0,0,1,0,None,Participant looks at the robot,None,None,Mild
01:05.0,64.97,64970,00:01:04:24,01:18.7,78.67,78670,00:01:18:16,00:13.7,13.7,13700,00:00:13:17,0,0,Participant moves in the chair,None,0,Neutral,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
01:18.7,78.67,78670,00:01:18:16,01:26.6,86.63,86630,00:01:26:15,00:08.0,7.96,7960,00:00:07:24,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks at the robot,None,None,
01:26.6,86.64,86640,00:01:26:16,01:46.0,105.97,105970,00:01:45:24,00:19.3,19.33,19330,00:00:19:08,0,0,Participant moves in the chair,None,0,Thoughtful,0,0,0,0,0,0,0,None,Participant looks to the side (left),None,None,
