"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - msec","Duration - PAL","UserAwkwardness","RobotMistake","UtteranceContent","Gaze","Smile","FacialExpression","Pauses","Laughter","Nod(Yes)","HeadShake(No)","HeadMovement","HandGesture","BodyGesture","RobotInterruption","RobotNonResponding","RobotInappropriateResponse","Other","Severeness"
00:00:00.000,0.0,0,00:00:00:00,00:02:43.440,163.44,163440,00:02:43:11,00:02:43.440,163.44,163440,00:02:43:11,"0","0",,,,,,,,,,,,"0","0","0",,
00:02:43.440,163.44,163440,00:02:43:11,00:02:49.520,169.52,169520,00:02:49:13,00:00:06.080,6.08,6080,00:00:06:02,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:02:49.520,169.52,169520,00:02:49:13,00:03:22.680,202.68,202680,00:03:22:17,00:00:33.160,33.16,33160,00:00:33:04,"0","0",,,,,,,,,,,,"0","0","0",,
00:03:22.680,202.68,202680,00:03:22:17,00:03:27.000,207.0,207000,00:03:27:00,00:00:04.320,4.32,4320,00:00:04:08,"0","1",,,,,,,,,,,,"1","0","0","Participant was not talking, but they were thinking about what to say",
00:03:27.000,207.0,207000,00:03:27:00,00:04:07.130,247.13,247130,00:04:07:03,00:00:40.130,40.13,40130,00:00:40:03,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:07.130,247.13,247130,00:04:07:03,00:04:07.580,247.58,247580,00:04:07:14,00:00:00.450,0.45,450,00:00:00:11,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:04:07.580,247.58,247580,00:04:07:14,00:04:08.820,248.82,248820,00:04:08:20,00:00:01.240,1.24,1240,00:00:01:06,"1","1",,,,,,,,,,,,"1","0","0","The backcannelling response was interruptive","Mild"
00:04:08.820,248.82,248820,00:04:08:20,00:04:15.720,255.72,255720,00:04:15:18,00:00:06.900,6.9,6900,00:00:06:22,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:04:15.720,255.72,255720,00:04:15:18,00:04:33.420,273.42,273420,00:04:33:10,00:00:17.700,17.7,17700,00:00:17:17,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:33.420,273.42,273420,00:04:33:10,00:04:39.890,279.89,279890,00:04:39:22,00:00:06.470,6.47,6470,00:00:06:11,"0","1",,,,,,,,,,,,"0","1","0",,
00:04:39.890,279.89,279890,00:04:39:22,00:07:33.000,453.0,453000,00:07:33:00,00:02:53.110,173.11,173110,00:02:53:02,"0","0",,,,,,,,,,,,"0","0","0",,
