Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:48.7,48.7,48700,00:00:48:17,00:48.7,48.7,48700,00:00:48:17,0,0,,,,,,,,,,,,0,0,0,,
00:48.7,48.7,48700,00:00:48:17,00:55.3,55.25,55250,00:00:55:06,00:06.6,6.55,6550,00:00:06:13,1,1,,,,,,,,,,,,0,1,0,,Mild
00:55.3,55.25,55250,00:00:55:06,02:28.5,148.55,148550,00:02:28:13,01:33.3,93.3,93300,00:01:33:07,0,0,,,,,,,,,,,,0,0,0,,
02:28.5,148.55,148550,00:02:28:13,02:33.9,153.86,153860,00:02:33:21,00:05.3,5.31,5310,00:00:05:07,1,1,,,,,,,,,,,,1,0,0,,Severe
02:33.9,153.86,153860,00:02:33:21,03:03.3,183.34,183340,00:03:03:08,00:29.5,29.48,29480,00:00:29:12,0,0,,,,,,,,,,,,0,0,0,,
03:03.3,183.34,183340,00:03:03:08,03:08.3,188.32,188320,00:03:08:08,00:05.0,4.98,4980,00:00:04:24,0,1,,,,,,,,,,,,0,1,0,,
03:08.3,188.32,188320,00:03:08:08,03:22.6,202.59,202590,00:03:22:14,00:14.3,14.27,14270,00:00:14:06,0,0,,,,,,,,,,,,0,0,0,,
03:22.6,202.63,202630,00:03:22:15,03:24.9,204.88,204880,00:03:24:22,00:02.3,2.25,2250,00:00:02:06,1,1,,,,,,,,,,,,1,0,0,,Mild
03:24.9,204.88,204880,00:03:24:22,03:25.4,205.45,205450,00:03:25:11,00:00.6,0.57,570,00:00:00:14,1,0,,,,,,,,,,,,0,0,0,,Mild
03:25.4,205.45,205450,00:03:25:11,03:50.0,230.01,230010,00:03:50:00,00:24.6,24.56,24560,00:00:24:14,0,0,,,,,,,,,,,,0,0,0,,
03:50.0,230.01,230010,00:03:50:00,03:55.5,235.5,235500,00:03:55:12,00:05.5,5.49,5490,00:00:05:12,1,1,,,,,,,,,,,,0,1,0,,Mild
03:55.5,235.5,235500,00:03:55:12,03:57.3,237.34,237340,00:03:57:08,00:01.8,1.84,1840,00:00:01:21,0,0,,,,,,,,,,,,0,0,0,,
03:57.3,237.34,237340,00:03:57:08,04:00.6,240.62,240620,00:04:00:15,00:03.3,3.28,3280,00:00:03:07,1,0,,,,,,,,,,,,0,0,0,,Mild
04:00.6,240.62,240620,00:04:00:15,04:48.6,288.63,288630,00:04:48:15,00:48.0,48.01,48010,00:00:48:00,0,0,,,,,,,,,,,,0,0,0,,
04:48.6,288.63,288630,00:04:48:15,04:54.1,294.12,294120,00:04:54:03,00:05.5,5.49,5490,00:00:05:12,1,1,,,,,,,,,,,,0,1,0,,Mild
04:54.1,294.12,294120,00:04:54:03,04:58.1,298.14,298140,00:04:58:03,00:04.0,4.02,4020,00:00:04:00,0,0,,,,,,,,,,,,0,0,0,,
04:58.1,298.14,298140,00:04:58:03,05:09.7,309.73,309730,00:05:09:18,00:11.6,11.59,11590,00:00:11:14,1,0,,,,,,,,,,,,0,0,0,,Severe
05:09.7,309.73,309730,00:05:09:18,05:13.8,313.83,313830,00:05:13:20,00:04.1,4.1,4100,00:00:04:02,1,1,,,,,,,,,,,,0,0,1,,Mild
05:13.8,313.83,313830,00:05:13:20,05:23.1,323.14,323140,00:05:23:03,00:09.3,9.31,9310,00:00:09:07,1,0,,,,,,,,,,,,0,0,0,,Mild
05:23.1,323.14,323140,00:05:23:03,06:01.6,361.62,361620,00:06:01:15,00:38.5,38.48,38480,00:00:38:12,0,0,,,,,,,,,,,,0,0,0,,
06:01.6,361.62,361620,00:06:01:15,06:07.9,367.91,367910,00:06:07:22,00:06.3,6.29,6290,00:00:06:07,0,1,,,,,,,,,,,,0,1,0,,
06:07.9,367.91,367910,00:06:07:22,06:48.0,408,408000,00:06:48:00,00:40.1,40.09,40090,00:00:40:02,0,0,,,,,,,,,,,,0,0,0,,
