"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - msec","Duration - PAL","UserAwkwardness","RobotMistake","UtteranceContent","Gaze","Smile","FacialExpression","Pauses","Laughter","Nod(Yes)","HeadShake(No)","HeadMovement","HandGesture","BodyGesture","RobotInterruption","RobotNonResponding","RobotInappropriateResponse","Other","Severeness"
00:00:00.000,0.0,0,00:00:00:00,00:00:58.020,58.02,58020,00:00:58:00,00:00:58.020,58.02,58020,00:00:58:00,"0","0",,,,,,,,,,,,"0","0","0",,
00:00:58.020,58.02,58020,00:00:58:00,00:01:05.290,65.29,65290,00:01:05:07,00:00:07.270,7.27,7270,00:00:07:06,"0","1",,,,,,,,,,,,"0","1","0",,
00:01:05.290,65.29,65290,00:01:05:07,00:01:41.200,101.2,101200,00:01:41:05,00:00:35.910,35.91,35910,00:00:35:22,"0","0",,,,,,,,,,,,"0","0","0",,
00:01:41.200,101.2,101200,00:01:41:05,00:01:46.010,106.01,106010,00:01:46:00,00:00:04.810,4.81,4810,00:00:04:20,"0","1",,,,,,,,,,,,"0","0","0","Robot speech freezes",
00:01:46.010,106.01,106010,00:01:46:00,00:04:11.660,251.66,251660,00:04:11:16,00:02:25.650,145.65,145650,00:02:25:16,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:11.660,251.66,251660,00:04:11:16,00:04:18.660,258.66,258660,00:04:18:16,00:00:07.000,7.0,7000,00:00:07:00,"0","1",,,,,,,,,,,,"0","1","0",,
00:04:18.660,258.66,258660,00:04:18:16,00:04:58.840,298.84,298840,00:04:58:21,00:00:40.180,40.18,40180,00:00:40:04,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:58.840,298.84,298840,00:04:58:21,00:04:59.520,299.52,299520,00:04:59:13,00:00:00.680,0.68,680,00:00:00:17,"0","1",,,,,,,,,,,,"1","0","0",,
00:04:59.520,299.52,299520,00:04:59:13,00:05:46.530,346.53,346530,00:05:46:13,00:00:47.010,47.01,47010,00:00:47:00,"0","0",,,,,,,,,,,,"0","0","0",,
00:05:46.530,346.53,346530,00:05:46:13,00:05:54.300,354.3,354300,00:05:54:07,00:00:07.770,7.77,7770,00:00:07:19,"0","1",,,,,,,,,,,,"0","1","0",,
00:05:54.300,354.3,354300,00:05:54:07,00:07:23.660,443.66,443660,00:07:23:16,00:01:29.360,89.36,89360,00:01:29:09,"0","0",,,,,,,,,,,,"0","0","0",,
00:07:23.660,443.66,443660,00:07:23:16,00:07:23.780,443.78,443780,00:07:23:19,00:00:00.120,0.12,120,00:00:00:03,"0","1",,,,,,,,,,,,"1","0","0",,
00:07:23.780,443.78,443780,00:07:23:19,00:07:26.520,446.52,446520,00:07:26:13,00:00:02.740,2.74,2740,00:00:02:18,"1","1",,,,,,,,,,,,"1","0","0",,"Mild"
00:07:26.520,446.52,446520,00:07:26:13,00:07:31.570,451.57,451570,00:07:31:14,00:00:05.050,5.05,5050,00:00:05:01,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:07:31.570,451.57,451570,00:07:31:14,00:09:34.000,574.0,574000,00:09:34:00,00:02:02.430,122.43,122430,00:02:02:10,"0","0",,,,,,,,,,,,"0","0","0",,
