Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:53.7,53.74,53740,00:00:53:18,00:53.7,53.74,53740,00:00:53:18,0,0,,,,,,,,,,,,0,0,0,,
00:53.7,53.74,53740,00:00:53:18,01:00.0,59.99,59990,00:00:59:24,00:06.3,6.25,6250,00:00:06:06,0,1,,,,,,,,,,,,0,1,0,,
01:00.0,59.99,59990,00:00:59:24,01:45.0,105,105000,00:01:45:00,00:45.0,45.01,45010,00:00:45:00,0,0,,,,,,,,,,,,0,0,0,,
01:45.0,105,105000,00:01:45:00,01:49.3,109.29,109290,00:01:49:07,00:04.3,4.29,4290,00:00:04:07,1,1,"(Participant asks) ""Would you like me to say it?""",,,,,,,,,,,0,1,0,,Mild
01:49.3,109.29,109290,00:01:49:07,02:36.0,155.98,155980,00:02:35:24,00:46.7,46.69,46690,00:00:46:17,1,1,,,,,,,,,,,,0,1,0,,Mild
02:36.0,155.98,155980,00:02:35:24,02:46.8,166.8,166800,00:02:46:20,00:10.8,10.82,10820,00:00:10:20,0,0,,,,,,,,,,,,0,0,0,,
02:46.8,166.8,166800,00:02:46:20,02:47.4,167.44,167440,00:02:47:11,00:00.6,0.64,640,00:00:00:16,0,1,,,,,,,,,,,,1,0,0,,
02:47.4,167.44,167440,00:02:47:11,03:00.2,180.17,180170,00:03:00:04,00:12.7,12.73,12730,00:00:12:18,0,0,,,,,,,,,,,,0,0,0,,
03:00.2,180.17,180170,00:03:00:04,03:05.0,185.01,185010,00:03:05:00,00:04.8,4.84,4840,00:00:04:21,0,1,,,,,,,,,,,,0,1,0,,
03:05.0,185.01,185010,00:03:05:00,03:16.2,196.23,196230,00:03:16:05,00:11.2,11.22,11220,00:00:11:05,0,0,,,,,,,,,,,,0,0,0,,
03:16.2,196.23,196230,00:03:16:05,03:25.3,205.35,205350,00:03:25:08,00:09.1,9.12,9120,00:00:09:03,1,0,,,,,,,,,,,,0,0,0,,Mild
03:25.3,205.35,205350,00:03:25:08,03:30.6,210.6,210600,00:03:30:15,00:05.2,5.25,5250,00:00:05:06,1,1,,,,,,,,,,,,0,1,0,,Mild
03:30.6,210.61,210610,00:03:30:15,03:34.6,214.6,214600,00:03:34:15,00:04.0,3.99,3990,00:00:03:24,0,0,,,,,,,,,,,,0,0,0,,
03:34.6,214.6,214600,00:03:34:15,03:45.3,225.32,225320,00:03:45:08,00:10.7,10.72,10720,00:00:10:18,1,0,Participant mentions that this is a bit random question,,,,,,,,,,,0,0,0,,Severe
03:45.3,225.32,225320,00:03:45:08,03:47.1,227.13,227130,00:03:47:03,00:01.8,1.81,1810,00:00:01:20,1,0,"(Participant asks) ""What are you getting out of that?""",,,,,,,,,,,0,0,0,,Severe
03:47.2,227.17,227170,00:03:47:04,03:48.8,228.83,228830,00:03:48:20,00:01.7,1.66,1660,00:00:01:16,1,1,"(Participant asks) ""What are you getting out of that?""",,,,,,,,,,,0,0,1,The robot does not answer the participant's question and continues the exercise,Severe
03:48.8,228.83,228830,00:03:48:20,03:59.0,239,239000,00:03:59:00,00:10.2,10.17,10170,00:00:10:04,1,1,,,,,,,,,,,,0,0,1,The robot does not answer the participant's question and continues the exercise,Severe
03:59.0,239,239000,00:03:59:00,04:19.4,259.41,259410,00:04:19:10,00:20.4,20.41,20410,00:00:20:10,0,0,,,,,,,,,,,,0,0,0,,
04:19.4,259.41,259410,00:04:19:10,04:23.7,263.72,263720,00:04:23:18,00:04.3,4.31,4310,00:00:04:07,0,1,,,,,,,,,,,,0,1,0,,
04:23.7,263.72,263720,00:04:23:18,04:27.7,267.72,267720,00:04:27:18,00:04.0,4,4000,00:00:04:00,0,0,,,,,,,,,,,,0,0,0,,
04:27.7,267.72,267720,00:04:27:18,04:35.9,275.95,275950,00:04:35:23,00:08.2,8.23,8230,00:00:08:05,1,0,,,,,,,,,,,,0,0,0,,Severe
04:35.9,275.95,275950,00:04:35:23,04:41.3,281.3,281300,00:04:41:07,00:05.3,5.35,5350,00:00:05:08,1,1,,,,,,,,,,,,0,1,0,,Severe
04:41.3,281.3,281300,00:04:41:07,04:52.2,292.18,292180,00:04:52:04,00:10.9,10.88,10880,00:00:10:22,0,0,,,,,,,,,,,,0,0,0,,
04:52.2,292.18,292180,00:04:52:04,04:57.4,297.37,297370,00:04:57:09,00:05.2,5.19,5190,00:00:05:04,0,1,,,,,,,,,,,,0,1,0,,
04:57.4,297.37,297370,00:04:57:09,05:33.5,333.53,333530,00:05:33:13,00:36.2,36.16,36160,00:00:36:04,0,0,,,,,,,,,,,,0,0,0,,
05:33.5,333.53,333530,00:05:33:13,05:39.6,339.57,339570,00:05:39:14,00:06.0,6.04,6040,00:00:06:01,0,1,,,,,,,,,,,,0,1,0,,
05:39.6,339.57,339570,00:05:39:14,06:15.9,375.9,375900,00:06:15:22,00:36.3,36.33,36330,00:00:36:08,0,0,,,,,,,,,,,,0,0,0,,
06:15.9,375.9,375900,00:06:15:22,06:23.0,383,383000,00:06:23:00,00:07.1,7.1,7100,00:00:07:02,1,0,,,,,,,,,,,,0,0,0,,Mild
