Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:33.2,33.23,33230,00:00:33:05,00:33.2,33.23,33230,00:00:33:05,0,0,,,,,,,,,,,,0,0,0,,
00:33.2,33.23,33230,00:00:33:05,00:37.6,37.6,37600,00:00:37:15,00:04.4,4.37,4370,00:00:04:09,0,1,,,,,,,,,,,,0,1,0,There is a robot freeze error (The robot does not respond at all for a long time),
00:37.6,37.6,37600,00:00:37:15,01:45.8,105.82,105820,00:01:45:20,01:08.2,68.22,68220,00:01:08:05,1,1,,,,,,,,,,,,0,1,0,There is a robot freeze error (The robot does not respond at all for a long time),Severe
01:45.8,105.82,105820,00:01:45:20,01:47.3,107.34,107340,00:01:47:08,00:01.5,1.52,1520,00:00:01:13,1,0,,,,,,,,,,,,0,0,0,,Severe
01:47.3,107.34,107340,00:01:47:08,02:08.3,128.33,128330,00:02:08:08,00:21.0,20.99,20990,00:00:20:24,0,0,,,,,,,,,,,,0,0,0,,
02:08.3,128.33,128330,00:02:08:08,02:12.5,132.47,132470,00:02:12:11,00:04.1,4.14,4140,00:00:04:03,0,1,,,,,,,,,,,,0,0,0,"The robot freezes, there is a long pause between the sentences",
02:12.5,132.47,132470,00:02:12:11,02:23.8,143.82,143820,00:02:23:20,00:11.4,11.35,11350,00:00:11:08,1,1,,,,,,,,,,,,0,0,0,"The robot freezes, there is a long pause between the sentences",Mild
02:23.8,143.82,143820,00:02:23:20,02:34.5,154.49,154490,00:02:34:12,00:10.7,10.67,10670,00:00:10:16,1,0,,,,,,,,,,,,0,0,0,,Mild
02:34.5,154.49,154490,00:02:34:12,03:02.7,182.74,182740,00:03:02:18,00:28.3,28.25,28250,00:00:28:06,0,0,,,,,,,,,,,,0,0,0,,
03:02.7,182.74,182740,00:03:02:18,03:10.4,190.37,190370,00:03:10:09,00:07.6,7.63,7630,00:00:07:15,0,1,,,,,,,,,,,,0,1,0,,
03:10.4,190.37,190370,00:03:10:09,03:49.3,229.34,229340,00:03:49:08,00:39.0,38.97,38970,00:00:38:24,0,0,,,,,,,,,,,,0,0,0,,
03:49.3,229.34,229340,00:03:49:08,03:54.5,234.52,234520,00:03:54:13,00:05.2,5.18,5180,00:00:05:04,0,1,,,,,,,,,,,,0,0,0,The robot freezes,
03:54.5,234.52,234520,00:03:54:13,03:55.0,234.99,234990,00:03:54:24,00:00.5,0.47,470,00:00:00:11,1,1,,,,,,,,,,,,0,0,0,The robot freezes,Mild
03:55.0,234.99,234990,00:03:54:24,03:58.7,238.66,238660,00:03:58:16,00:03.7,3.67,3670,00:00:03:16,1,0,,,,,,,,,,,,0,0,0,,Mild
03:58.7,238.66,238660,00:03:58:16,05:20.5,320.45,320450,00:05:20:11,01:21.8,81.79,81790,00:01:21:19,0,0,,,,,,,,,,,,0,0,0,,
