video_path,label_path
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P22_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P22_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P11_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P11_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P24_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P24_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P06_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P06_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P19_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P19_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P13_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P13_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P14_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P14_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P17_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P17_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P16_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P16_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P23_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P23_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P26_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P26_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P03_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P03_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P07_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P07_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P02_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P02_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P25_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P25_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P08_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P08_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P04_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P04_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P01_W1_G1.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P01_W1_G1.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P18_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P18_W1_G2.csv
/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/videos/P15_W1_G2.avi,/media/kiyoaki/Ventoy/projects/SlowFast-Interaction/src/../data/interaction/2022/labels/P15_W1_G2.csv
